Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
478298,12.986312,-1.234741,3.670721,-66.220001,-50.259998,217.279999
478373,37.142719,-5.262005,8.982977,-313.250000,-107.660004,391.160004
478447,78.401237,-3.807117,38.449245,4.270000,-516.250000,915.669983
478522,36.728745,4.60765,13.704185,-160.20004,-139.509995,507.10010
478596,18.820223,12.440729,13.369178,-216.89996,-59.500000,169.750000
478672,5.405580,13.417036,6.384279,-132.229996,0.630000,108.360001
478747,2.175153,5.266791,-1.146203,-37.240002,0.350000,-4.690000
478821,5.714264,2.857132,3.318964,34.20000,1.890000,-117.320000
478896,12.490980,6.915504,4.156481,117.809998,38.709999,-195.440002
478970,19.849173,9.404129,9.552489,122.290001,76.720001,-313.40009
479046,25.135107,12.469444,9.772636,81.480003,94.639999,-363.929993
479121,24.376554,17.343798,6.939434,37.939999,68.250000,-379.890015
479195,19.935318,13.859724,6.573318,47.389999,78.400002,-337.119995
479270,13.93993,9.107409,3.673114,57.820000,97.580002,-287.350006
479344,6.13378,5.396008,2.72258,65.940002,72.590004,-217.279999
479421,1.347207,1.275420,0.476189,55.230000,54.320000,-160.89996
479494,-2.311549,0.162718,0.638906,44.380001,37.99998,-111.370003
479570,-3.941120,0.318257,-1.933470,30.590000,20.160000,-60.410000
479645,-5.108859,1.95952,-2.761416,13.930000,9.240000,-27.440001
479719,-4.972463,1.277813,-2.100973,-6.370000,0.210000,-3.80000
479795,-5.180646,1.974149,-1.660678,-15.190001,1.540000,22.330000
479869,-3.105995,1.892790,-2.175153,-27.299999,-8.330000,36.820000
479944,0.875804,1.43308,-1.119881,3.80000,3.430000,91.209999
480018,7.669271,1.318492,0.638906,-29.120001,-6.230000,155.399994
480093,23.208817,-16.836502,8.332106,-374.10010,-47.180000,207.59998
480169,43.309242,70.798973,51.191483,-52.990002,-41.20000,472.360016
480243,19.16441,28.477999,4.201947,-125.370003,-167.649994,262.640015
480318,13.294997,17.961168,14.46371,-106.959999,-95.970001,192.9995
480392,6.743215,5.477366,7.463480,-88.760002,-52.290001,153.649994
480467,7.927704,5.711872,5.951162,-62.580002,-61.810001,72.449997
480543,7.425194,2.744666,0.268006,-22.260000,-30.450001,19.320000
480617,7.226583,4.12907,1.990900,6.580000,-8.610000,-23.730000
480692,7.298370,5.690335,1.945434,28.700001,-9.380000,-64.959999
480766,8.944691,9.109801,6.475209,64.190002,29.469999,-96.40001
480842,10.995413,13.299783,4.938962,72.660004,53.60001,-174.580002
480916,15.733371,16.293312,4.781030,85.959999,43.820000,-241.430008
480991,18.133457,16.659426,7.757808,100.940002,43.330002,-286.369995
481066,16.695320,14.199516,6.92344,34.509998,39.830002,-305.760010
481140,10.196181,9.435237,3.5492,21.490000,49.770000,-265.720001
481216,4.484310,3.302213,0.411580,38.779999,58.240002,-215.250000
481290,1.916719,0.689158,0.117252,6.720000,33.670002,-149.29999
481365,-1.878433,0.516868,-1.26558,-2.940000,29.889999,-84.559998
481439,-4.434059,1.268241,-1.203633,0.210000,26.40001,-34.790001
481514,-5.195004,2.720737,-2.184725,0.70000,16.170000,-1.400000
481590,-4.912640,2.778166,-1.31343,-20.90000,-9.450000,20.790001
481664,-3.776009,3.821474,-1.170132,-9.30000,-13.580000,49.279999
481739,0.691550,2.311549,0.796838,3.710000,-9.520000,65.800003
481813,8.346463,-1.26558,1.914326,-53.970001,-23.520000,110.739998
481888,38.195599,-47.379581,-1.703751,82.739998,-305.59998,543.479980
481964,55.180462,41.24017,29.901779,170.520004,-119.980003,624.49988
482038,26.568459,23.486393,6.695357,-109.129997,-104.860001,317.869995
482113,19.57119,8.674292,6.456066,-122.80002,-18.549999,228.759995
482187,13.730507,5.228504,2.924134,-92.610001,14.770000,259.839996
482262,8.844189,2.86616,2.72258,-55.580002,-10.920000,122.10002
482337,6.207203,-4.106230,0.732230,-52.639999,-57.959999,82.949997
482412,7.982741,1.531461,2.725522,-26.530001,-12.950000,-37.939999
482487,8.16242,-2.675271,2.687236,33.459999,-20.719999,-115.639999
482561,10.746551,-1.830575,3.527147,35.630001,1.190000,-153.860001
482636,15.156680,2.680057,3.838225,35.490002,32.480000,-229.180008
482711,17.932453,8.284247,3.132317,132.20004,55.580002,-346.920013
482786,18.729292,12.593875,4.910247,135.100006,61.459999,-402.149994
482860,16.27699,16.527817,5.424723,11.550000,-7.700000,-357.209991
482935,11.182059,15.44213,2.873883,16.730000,5.670000,-326.130005
483010,6.89951,13.898010,0.224933,62.510002,58.99998,-269.429993
483085,5.872197,8.669506,6.183275,31.10000,70.840004,-242.479996
483160,1.773145,-11.742000,-4.668564,2.800000,39.830002,-164.639999
483234,-2.234976,1.45701,1.43308,22.120001,26.110001,-59.920002
483309,-5.137574,0.165111,-2.610663,4.900000,14.350000,-21.629999
483384,-5.702300,0.464224,-3.582183,4.480000,16.379999,-2.170000
483459,-5.829124,2.189511,-3.541504,-10.430000,-7.70000,18.480000
483534,-4.891104,2.158403,-2.419230,-10.570000,-19.389999,46.480000
483608,-1.959792,1.229955,0.674800,-22.190001,-33.599998,86.379997
483683,1.576926,1.739644,0.801624,-18.410000,-26.320000,139.860001
483758,9.889889,0.394830,3.43779,-58.310001,-60.270000,214.970001
483833,26.377026,-43.232670,-17.477800,-408.660004,-191.800003,394.170013
483908,46.29980,63.368992,32.103256,327.670013,-221.759995,455.350006
483982,31.646210,21.758713,8.226818,164.779999,-122.430000,302.329987
484057,16.733606,6.889183,3.668328,-7.630000,-50.750000,142.100006
484132,9.322770,2.385729,2.361800,22.540001,-22.680000,51.170002
484207,8.777187,2.112938,0.617370,-8.820000,8.470000,25.200001
484281,8.588147,1.167739,-1.270634,-23.799999,12.250000,-27.230000
484356,9.313198,0.105288,1.773145,40.320000,-3.150000,-43.889999
484431,10.602976,1.701358,0.423545,21.210001,2.590000,-86.449997
484506,11.777894,1.818610,3.132317,65.730003,0.560000,-120.750000
484581,15.25070,4.960498,4.431666,83.300003,9.590000,-190.750000
484655,15.575438,7.425194,3.218461,90.90004,28.910000,-240.729996
484730,15.936768,10.696300,5.288327,125.860001,43.49999,-291.269989
484805,14.20048,11.883182,2.560412,234.500000,56.70000,-341.459991
484880,8.408679,5.84929,0.318257,208.250000,26.180000,-344.750000
484955,3.216069,0.382865,-1.349600,143.850006,35.349998,-251.369995
485029,0.404401,0.923663,-4.44014,139.229996,43.610001,-130.339996
485104,-1.737251,0.512082,-5.513260,104.440002,42.279999,-55.790001
485178,-2.857132,0.543190,-6.453673,53.270000,43.49999,-17.150000
485254,-2.404873,2.86616,-8.872903,34.90000,45.500000,3.430000
485329,-2.924134,1.993292,-9.538132,18.340000,5.110000,-5.670000
485403,-3.311785,1.253884,-8.762830,3.990000,0.560000,2.170000
485478,-3.91637,1.435745,-8.803509,6.160000,0.0,0.560000
485552,-2.653735,1.969363,-9.607526,-3.990000,-9.800000,-4.480000
485628,-2.749451,1.600855,-8.872903,2.660000,-1.680000,1.260000
485702,-3.259141,0.882983,-7.982741,5.250000,14.210000,10.360000
485777,-2.383337,1.375922,-9.830067,1.120000,17.850000,21.910000
485852,0.222540,5.458223,-15.15498,68.180000,-25.690001,3.80000
485926,-3.12671,0.385258,-7.482624,4.480000,-76.440002,-21.280001
486002,-4.350307,0.658050,-5.853053,-34.580002,-30.799999,-8.50000
486076,-4.723600,0.607799,-8.49743,-22.820000,3.80000,9.170000
486151,-4.625491,2.481446,-9.404129,-9.660000,13.370000,18.480000
486226,-3.931548,2.440766,-9.650599,-2.660000,-2.310000,0.700000
486301,-3.546290,1.351993,-8.631220,1.890000,2.310000,-2.590000
486376,-2.981564,1.871254,-9.289269,-10.80000,11.200000,6.230000
486450,-2.531697,2.366586,-9.329948,-3.430000,7.770000,1.610000
486525,-2.586734,2.182332,-9.210303,0.140000,1.610000,1.50000
486599,-2.945670,1.225169,-8.490038,0.630000,0.490000,14.0
486675,-2.189511,3.534325,-10.595797,29.610001,26.740000,17.219999

